30m from Blocks,30m Fly,150m,250m,60m,100m,200m
3.58-3.61,2.48-2.51,14.87-14.97,25.47-25.72,6.49-6.53,10.09-10.16,20.17-20.52
3.65-3.66,2.52-2.55,14.96-15.06,25.73-25.98,6.54-6.58,10.17-10.24,20.33-20.48
3.66-3.69,2.56-2.56,15.09-15.19,25.99-26.24,6.59-6.63,10.25-10.32,20.49-20.64
3.70-3.73,2.60-2.62,15.20-15.30,26.25-26.50,6.64-6.68,10.33-10.40,20.65-20.80
3.74-3.77,2.64-2.67,15.31-15.42,26.51-26.76,6.69-6.73,10.41-10.48,20.81-20.96
3.78-3.81,2.68-2.71,15.43-15.54,26.77-27.02,6.74-6.78,10.49-10.56,20.97-21.12
3.82-3.85,2.72-2.75,15.55-15.66,27.03-27.28,6.79-6.83,10.57-10.64,21.13-21.28
3.86-3.89,2.76-2.79,15.67-15.79,27.29-27.54,6.84-6.88,10.65-10.72,21.29-21.44
3.90-3.93,2.80-2.83,15.80-15.92,27.55-27.80,6.89-6.93,10.73-10.80,21.45-21.61
3.94-3.98,2.84-2.88,15.93-16.06,27.81-28.06,6.94-7.00,10.81-10.90,21.62-21.88
3.99-4.03,2.89-2.93,16.07-16.20,28.07-28.31,7.01-7.06,10.91-11.00,21.89-22.09
4.04-4.08,2.94-2.98,16.21-16.35,28.32-28.55,7.07-7.12,11.01-11.09,22.10-22.30
4.09-4.13,2.99-3.03,16.36-16.51,28.56-28.80,7.13-7.18,11.10-11.19,22.31-22.53
4.14-4.18,3.04-3.08,16.52-16.68,28.81-29.06,7.19-7.25,11.20-11.29,22.54-22.77
4.19-4.24,3.09-3.14,16.69-16.86,29.07-29.32,7.26-7.32,11.30-11.39,22.78-23.02
4.25-4.30,3.15-3.20,16.87-17.05,29.33-29.63,7.33-7.39,11.41-11.51,22.96-23.19
4.31-4.35,3.21-3.25,17.06-17.25,29.64-29.91,7.40-7.46,11.52-11.62,23.20-23.43
4.37-4.42,3.27-3.32,17.26-17.46,29.92-30.19,7.47-7.53,11.63-11.73,23.44-23.69
4.43-4.48,3.33-3.38,17.47-17.67,30.20-30.49,7.54-7.61,11.74-11.85,23.70-23.96
4.49-4.54,3.39-3.44,17.68-17.88,30.51-30.91,7.62-7.71,11.86-12.01,23.96-24.27
4.55-4.60,3.45-3.50,17.89-18.09,30.92-31.32,7.72-7.81,12.02-12.17,24.28-24.64
4.61-4.70,3.51-3.60,18.10-18.30,31.33-31.74,7.82-7.91,12.18-12.33,24.65-24.98
4.71-4.80,3.61-3.70,18.31-18.51,31.75-32.15,7.92-8.02,12.34-12.49,24.99-25.30
4.81-4.90,3.71-3.80,18.56-18.81,32.16-32.56,8.03-8.12,12.50-12.65,25.31-25.65
4.91-5.00,3.81-3.90,18.82-19.12,32.57-33.06,8.13-8.25,12.66-12.85,25.64-25.99
5.0-5.1,3.9-4.0,19.2-19.6,33.1-33.7,8.3-8.4,12.9-13.1,26.0-26.5
5.1-5.2,4.0-4.1,19.6-20.0,33.7-34.3,8.4-8.5,13.1-13.3,26.5-27.0
5.2-5.3,4.1-4.2,20.0-20.4,34.3-35.0,8.5-8.7,13.3-13.6,27.0-27.5
5.3-5.5,4.2-4.4,20.4-20.8,35.0-35.6,8.7-8.9,13.6-13.9,27.5-28.0
