200m,150m,300m,600m,400m
20.3-20.4,14.9-15.0,31.7-31.9,71.2-71.7,43.9-44.0
20.4-20.5,15.0-15.1,32.0-32.1,71.8-72.1,44.1-44.2
20.5-20.6,15.1-15.2,32.2-32.3,72.2-72.6,44.3-44.5
20.6-20.7,15.2-15.3,32.4-32.6,72.7-73.2,44.6-44.9
20.7-20.8,15.3-15.4,32.7-32.8,73.3-73.8,45.0-45.2
20.8-20.9,15.4-15.5,32.9-33.0,73.9-74.4,45.3-45.5
20.9-21.0,15.5-15.6,33.1-33.3,74.5-75.0,45.6-45.9
21.0-21.1,15.6-15.7,33.4-33.6,75.1-75.7,46.0-46.3
21.1-21.3,15.7-15.8,33.7-33.9,75.8-76.4,46.4-46.7
21.3-21.4,15.8-15.9,34.0-34.2,76.5-77.1,46.8-47.1
21.4-21.6,15.9-16.0,34.3-34.5,77.2-77.9,47.2-47.6
21.6-21.8,16.0-16.1,34.6-34.8,78.0-78.7,47.7-48.0
21.8-21.9,16.1-16.2,34.9-35.1,78.8-79.5,48.1-48.4
21.9-22.1,16.2-16.4,35.2-35.6,79.6-80.3,48.5-48.9
22.1-22.2,16.4-16.6,35.7-36.1,80.4-81.1,49.0-49.3
22.2-22.3,16.6-16.7,36.2-36.4,81.2-82.0,49.4-49.9
22.3-22.7,16.7-16.9,36.5-36.9,82.1-82.9,50.0-50.6
22.7-22.8,16.9-17.1,37.0-37.4,83.0-83.9,50.7-51.2
22.9-23.1,17.0-17.2,37.3-37.7,84.0-85.0,51.3-51.8
23.1-23.3,17.2-17.3,37.8-38.0,85.1-86.2,51.9-52.4
23.3-23.6,17.3-17.5,38.1-38.6,86.3-87.4,52.5-53.1
23.6-23.9,17.5-17.7,38.7-39.3,87.5-88.8,53.2-53.8
23.9-24.2,17.7-17.9,39.2-39.6,88.7-89.8,54.0-54.6
24.2-24.5,17.9-18.0,39.7-39.9,89.9-91.0,54.7-55.4
24.5-24.8,18.0-18.3,40.0-40.5,91.1-92.2,55.4-56.0
24.8-25.1,18.3-18.6,40.6-41.2,92.3-93.5,56.1-56.8
25.1-25.5,18.6-18.8,41.3-41.9,93.6-94.8,56.9-57.6
25.5-25.8,18.8-19.0,42.0-42.5,94.9-96.1,57.7-58.3
25.8-26.1,19.0-19.3,42.6-43.1,96.2-97.4,58.6-59.4
26.1-26.5,19.3-19.6,43.2-43.9,97.5-99.0,59.5-60.5
26.5-27.0,19.6-20.0,44.0-44.8,99.1-101.2,60.6-61.8
27.0-27.5,20.0-20.4,44.9-45.7,101.3-103.2,61.9-63.0
27.5-28.0,20.4-20.8,45.8-46.6,103.3-105.2,63.1-64.2
